epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.184,1.45832,4.28121,1.0477,0.00426,0.1192,0.00891,0.00516,1.37068,4.53883,0.97296,0.000263053,0.000263053,0.000263053
2,222.845,1.39313,3.48497,0.98958,0.12852,0.17435,0.01556,0.01126,1.30022,4.24535,0.95285,0.000530013,0.000530013,0.000530013
3,336.19,1.44109,2.80002,0.98738,0.09362,0.26457,0.05047,0.03726,1.28529,3.86934,0.95199,0.000785978,0.000785978,0.000785978
4,457.575,1.36809,2.35495,0.98568,0.07881,0.45913,0.11816,0.07867,1.27218,3.2212,0.95142,0.00078352,0.00078352,0.00078352
5,570.767,1.29122,2.02411,0.97264,0.41426,0.21278,0.15233,0.09049,1.28959,2.50431,0.96595,0.000767026,0.000767026,0.000767026
6,697.125,1.27493,1.77731,0.95857,0.29129,0.28299,0.22646,0.14545,1.21468,1.95005,0.9577,0.000750533,0.000750533,0.000750533
7,825.021,1.16423,1.63876,0.94518,0.34214,0.30499,0.26232,0.16689,1.13241,1.64613,0.94364,0.00073404,0.00073404,0.00073404
8,950.72,1.16708,1.55252,0.93144,0.252,0.31349,0.2582,0.17197,1.07833,1.54019,0.93603,0.000717546,0.000717546,0.000717546
9,1068.52,1.12459,1.48249,0.93644,0.30006,0.32912,0.27107,0.18301,1.09583,1.53621,0.93911,0.000701053,0.000701053,0.000701053
10,1201.19,1.11355,1.44565,0.92667,0.30049,0.34613,0.28406,0.19191,1.09303,1.51449,0.92945,0.000684559,0.000684559,0.000684559
11,1316.33,1.08576,1.40476,0.931,0.27109,0.3578,0.26026,0.17408,1.10692,1.58233,0.92823,0.000668066,0.000668066,0.000668066
12,1424.41,1.10053,1.36017,0.9222,0.36925,0.39265,0.3325,0.231,1.01646,1.35249,0.91444,0.000651573,0.000651573,0.000651573
13,1533.46,1.05826,1.3097,0.92298,0.39762,0.40023,0.34282,0.23301,1.04157,1.37634,0.91598,0.000635079,0.000635079,0.000635079
14,1640.82,1.07923,1.32315,0.92078,0.39166,0.35405,0.34057,0.24079,1.00837,1.31355,0.91034,0.000618586,0.000618586,0.000618586
15,1748.2,1.07175,1.28399,0.91628,0.42803,0.40894,0.35766,0.24594,1.0153,1.29312,0.915,0.000602092,0.000602092,0.000602092
16,1856.94,1.03062,1.24679,0.91991,0.52858,0.36648,0.36472,0.25491,0.99993,1.25886,0.91495,0.000585599,0.000585599,0.000585599
17,1963.95,1.01728,1.23288,0.90719,0.42319,0.40651,0.37872,0.26359,0.99624,1.26278,0.90988,0.000569106,0.000569106,0.000569106
18,2072.98,1.03276,1.20459,0.9096,0.37676,0.42969,0.38784,0.27075,0.98112,1.24549,0.90738,0.000552612,0.000552612,0.000552612
19,2180.21,0.97279,1.14005,0.89447,0.51762,0.39732,0.37736,0.26076,0.96329,1.26371,0.90412,0.000536119,0.000536119,0.000536119
20,2287.13,0.99471,1.17786,0.90707,0.4273,0.44682,0.39877,0.27878,0.98144,1.23222,0.90535,0.000519625,0.000519625,0.000519625
21,2397.52,1.02014,1.16509,0.90092,0.42508,0.44143,0.40064,0.27696,1.00213,1.26497,0.90901,0.000503132,0.000503132,0.000503132
22,2505.94,0.99181,1.14647,0.89829,0.40729,0.43448,0.40178,0.28012,0.98885,1.25497,0.91258,0.000486639,0.000486639,0.000486639
